Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), password)",Chrome 122.0.0.0,,,21-03-2024 10:07:38,21-03-2024 10:07:39,0.701s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 122.0.0.0,,,21-03-2024 10:07:39,21-03-2024 10:07:39,0.405s,PASSED
waitForAlert(3),Chrome 122.0.0.0,,,21-03-2024 10:07:39,21-03-2024 10:07:42,3.071s,PASSED
,,,,,,,
Test Cases/Login_TC,Chrome 122.0.0.0,,,21-03-2024 10:07:42,21-03-2024 10:07:50,7.787s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,21-03-2024 10:07:42,21-03-2024 10:07:43,0.901s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 122.0.0.0,,,21-03-2024 10:07:43,21-03-2024 10:07:44,0.607s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 122.0.0.0,,,21-03-2024 10:07:44,21-03-2024 10:07:46,2.024s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), password)",Chrome 122.0.0.0,,,21-03-2024 10:07:46,21-03-2024 10:07:47,0.731s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 122.0.0.0,,,21-03-2024 10:07:47,21-03-2024 10:07:47,0.410s,PASSED
waitForAlert(3),Chrome 122.0.0.0,,,21-03-2024 10:07:47,21-03-2024 10:07:50,3.098s,PASSED
